マ リ ... ヌ は 背 が 低 く 、金 髪 で 若 く 、ス ポ ー テ イ ー で す 。," ""Marine est petite, blonde, jeune et sportive."""
男優達は素敵です。, Les acteurs sont beaux.
女優達は綺麗です, Les actrices sont belles.
その女性の看護師は親切で有能です。, L'ifirmière est gentille et compètente.
その教師は真面日で感じがいいです。, Le professeur est sérieux et sympathique.
アリ...ヌは知的で、クリエイティブで独創的です。," ""Aline est intelligente, créative et originale."""
そ の映画は面白いですが、少し長いです。, Le film est intéressant mais un peu long.
昼間は暑く、日差しがあります。, La journée est chaude et ensoleillée.
ピエールとアンヌとマリーは3人とも金髪です。," ""Pierre, Anne et Marie sont tous les trois blonds."""
新しいパソコンはくすんだ灰色です。, Le nouvel ordinateur est gris mat.
私は小さいテラスのついた立派なマンションを持っています, J'ui un bel appartement avec une petite terrasse.
私は旧友と楽しい夜を過ごしました。, J'ui passé une bonne soirée avec d'anciens amis.
あの緑の車に乗つている金髪の若い男は有名な俳優です。, Le jeune」homme blolld avec la voiture verte est un acteur connu.
あ の足の長い綺麗な女性はプロのモデルです, La belle fille avec de longues jambes est mannequin professionnelle.
『三銃士』はアレクサンドル・デュマの作品です。, «Les trois mousquetaires» sont une œuvre d'Alexandre Dumas.
次の駅はこの線の終点です。, La prochaine station est la dernière de la ligne.
ナボレオンは大男ではありませんが、歴史上の重要人物です," ""Napoléon n'est pas un homme grand, mais c'est un grand personnage de l'histoire."""
私の夫所有の部屋はとても清潔です。, La propre chambre de mon mari est très propre.
ノートパソコンは便利なものです。, Les ordinateurs portables sont des objets pratiques.
歩くことは健康にいいです。," ""Marcher, c'est bon pour la santé."""
明日、仕事はできますか?」 「はい、大丈夫です。もう具合はよくなりましたから」," ""«Vous pouvez travailler demain ?» «Oui, c'est bon, je ne suis plus malade.»"""
フランス語を勉強するのはいいことです。," ""Etudier le français, c'est bien."""
「それは確かに120ユ ーロするんですか?」「はい、その通りです」," ""«Ça coûte bien 120 euros?» «Oui, c'est bien ca.»"""
その役者はいい男優です。演技が上手です。," ""C'est un bon acteur, il joue bien."""
彼は車で速度を出し過ぎます。ゆつくり運転しなければいけません。," ""II roule trop vite en voiture, il faut rouler lentement."""
彼はよく話します。とてもおしやべりです。," ""Il parle beaucoup, il est très bavard."""
私はあの子が気に入つています。とても好きです。," ""J'aime bien cette fille, je l'aime beaucoup."""
テレビで彼が話すフランス語は早過ぎます。," ""A la télévision, il parle le français trop vite."""
休暇中、私は元気で、とても楽しく過ごしています。," ""Pendant les vacances, je vais bien et je m'amuse beaucoup."""
寒いです。暖かい服装をしなければなりません。, Il fait froid / il faut s'habiller chaudelnent.
この学生は真面目で注意深いです。彼は真面目に注意深く勉強します," ""Cet étudiant est sérieux, attentif. Il travaille sérieusement, attentivement."""
このトラツクは危険な速度で走つています、安全な速度まで落としていません。," ""Ce camion roule dangereusement, pas assez lentement."""
私はすごく読書が好きで、しよつちゆう映画に行きます。, J'aime énormément lire et aller fréquemment au cinéma.
私は夕食を早くとることはありますが、寝るのが遅くなることは滅多にありません, Je dîne souvent tôt et me couche rarement tard.
時々休むことはあつても、長期にわたつて仕事をしないことは稀です。," ""De temps en temps je me repose, mais j'arrête rarement le travail longtemps."""
「よくテレビを見ますか?」「いいえ、実はほとんど見ないんです」, «Vous regardez souvent la télévision?» «Non presque jamais en fait.»
最近、私は食生活を変えようと決めました。, Récemment j'ai décidé de changer mes habitudes alimentaires.
この先生はそつけない話し方をしますが、質問には親切に答えてくれます。, Ce professeur parle sèchement mais il répond gentiment aux questions.
この生徒の勉強の仕方はだらだらしていて、充分ではありません。, Cet élève travaille mollement et pas suffisamment.
イブ・モンタンは有名なフランス人歌手です。, Yves Montand est un chanteur français célèbre.
旅行で彼は豪華ホテルに泊まります。," ""En voyage, il séjourne dans un hôtel luxueux."""
私は雄犬1匹 と雌猫1匹 を飼つています。犬は攻撃的ですが、猫はおとなしいです。," ""J'ai un chien et une chatte / le chien est agressit, la chatte est douce."""
私はその本をテ...ブルの上に置きました。確か客間のテーブルだったと思います。," ""J'ai posé le livre sur une table, la table du salon je crois."""
私は果物と野菜が好きです。, J'aime les fruits et les légumes.
私はカフェを探しています、サンジェルマンの「カフェ0フ ロール」です。," ""Je cherche un café, le café Flore à St-Germain."""
ボーマルシェは『フィガロの結婚』の作者です。, Beaumarchais est I'auteur des «Noces de Figaro».
学生達がソルボンヌ大学のそばのカフェで議論しています。, Des étudiants discutent dans un café près de la Sorbonne.
「人間は自由で、権利において平等なものとして生まれる」, «Les hommes naissent libres et égaux en droit.»
その地区の学校は新築です。それは私立学校です。,  L'école du quartier est toute neuve. C'est une école privée.
彼 は ク ロ ワ ッ サ ン を 食 べ 、カ フ ェ・ オ・ レ を 飲 み ま す 。, Il mange des croissants et il boit du café au lait.
彼はアルコ...ル類を飲んだことがありません。ビ...ルさえ飲んだことがありません, Il ne boit jamais d'alcool même pas de bière.
クリスマスに彼はツリーの飾りを買うのを楽しみにしています。," ""A Noël, il achète volontiers des décorations pour le sapin."""
彼 は あ ま り乳 製 品 を 摂 りま せ ん 。, Il ne mange pas beaucoup de laitages.
市場で彼はいつも肉を1キロ買います。, Au marché iI achète d'habitude un kilo de viande.
スポーツをたくさんすると体の疲労の原因となることがあります。, Bearcoup de sport peut fatiguer I'organisme.
よいダイエツトとは野菜類を多く摂り、脂肪分を控えることです。," ""Un bon régime,c'est manger beaucoup de légumes et peu de graisses."""
仕事があるんですか?, Vous avez du travail ?
はい、膨大な量の仕事があります。," ""Oui, j'ai énormément de travail."""
暮らしやすい町とは、緑が多く、交通量が少ない町です。 L_」," ""Une ville agréable, c'est beaucoup d'espaces verts et peu de circulation automobile."""
この携帯電話はクリステイアンのものです, Ce portable est à Christian.
あの建物は「オペラ・バスティーユ」です。," ""Ce monument là-bas, c'est l'Opéra Bastille."""
この大聖堂はゴシック建築です。, Cette cathédrale est de style gothique.
これらの果物はすでに腐つています。, Ces fruits sont déjà pourris.
このホテルはあまり快適ではありません。, Cet hôtel n'est guère confortable.
今週地方に出かけるんですか?, Vous partez en province cette semaine?
私はこのワインは買いません。より手頃な値段のこちらにします。," ""Je n'achète pas ce vin, j'achète celui-ci, plus abordable."""
私はこの地味なワンピ...スは着ません。こちらの少し派手なワンピ...スのほうが好みです。 ," ""Je ne mets pas cette robe sombre, je préfere cellui-ci, plus gaie."""
私はこのケーキとこのタルトにしようと思います。, je vais prendre ce gâteau et cette tarte.
アルザス地方は素晴らしい所です。," ""L'Alsace,c'est une magnifique région!"""
バルザックは「人間喜劇」という作品で有名です, Balzac est célèbre pour son œuvre «La Comédie humaine».
私達の娘は休暇を友達の家で過ごしに出かけました。, Notre fille est partie en vacances chez nos amis.
この女子学生は私達の留守中、子供の面倒を見てくれます, Cette étudiante garde nos enfants en notre absence.
これは君の本ではなく、私のです," ""Ce n'est pas ton livre, c'est le mien."""
私は彼の腕時計を見つけました。確かにこれは彼のものです。," ""J'ai trouvé sa montre, c'est bien la sienne, j'en suis sûr."""
君の車を貸してください、私の車は故障しています。," ""Prête-moi ta voiture, la mienne est en panne."""
彼 女の髪はブロンドですが、私の髪は茶色です。, Ses cheveux sont blonds alors queles miens sont châtains.
お たくのお子さん達はとてもお行儀がいいですが、うちの子供達は騒がしいです。, Vos enfants sont bien élevés mais les nôtres sont turbulents.
「すみません、それは私の傘です!」 「ああ、そうですか、てつきり私のだと思つてました、ごめんなさい」," ""《Monsieur, c'est monn parapluie!》"
《Ah bon,"  je croyais que c'était le mien, désolé.》"""
ナボレオンは数々の勝利とワーテルローでの敗北で有名です, Napoléon est célèbre pour ses victoires et sa défaite d Waterloo.
オリヴイエはフランスのパリに住んでいます。, Olivier habite à Paris en France.
グランドキヤニオンはアメリカにあります。, Le Grand Canyon est aux Etats-Unis.
ストラスブ...ルの大聖堂はフランスのアルザス地方にあります。, La cathédrale de Strasbourg est en Alsace en France.
家の中にも通りにも人がたくさんいます, Il v a beaucoup de monde dans la maison et dans la rue.
木の下にベンチがあり、そのベンチには男が 1人座つています。, Sous l'arbre il y a un banc et sur le banc un homme est assis.
私の住んでいるマンションでは、私の部屋の上も下も、夜はいつもうるさいです。," ""Dans mon immeuble, les voisins du dessus et du dessous font du bruit Ie soir."""
中は暑すぎるし、外は寒すぎます。, Dedans j'ai trop chaud et dehors trop froid.
今夜、映画館ではエマニュエル・ベアールのいい映画があります。, Ce soir au cinéma il y a un bon fllm avec Emmanuelle Béart.
あの猫がいるのは台所、それとも屋根の上?, Le chat est dans la cuisine ou sur le toit ?
動 物はデバートに入れません, Les animaux ne peuvent rentrer dans le grand magasin.
オリヴィエは今、パリの銀行にいます。, Olivier est en ce moment à Paris à la banque.
彼は朝の9時から大体夜の7時まで銀行で働いています。, Il travaille dans la banque de 9 heures à 19 heures environ. 
